,created_at,tweet_id,user_id,tweet,screen_name,in_reply_to_user_id,hashtags
0,Sat May 12 15:58:53 +0000 2018,995332494974210048,492271155,"RT @carloscarmo98: -Manel, algo que decir sobre tu actuación en Eurovision?
-Kikiriketediga https://t.co/yXGYtKmJoM",Alba137,,[]
1,Sat May 12 15:58:54 +0000 2018,995332495783727105,295119361,RT @DougJ7777: If Britain wins #Eurovision then we have to rejoin the EU. It's in the rules. #Eurovision2018,DougJ7777,,"[{'text': 'Eurovision', 'indices': [31, 42]}, {'text': 'Eurovision2018', 'indices': [93, 108]}]"
2,Sat May 12 15:58:54 +0000 2018,995332497029332994,2903799443,RT @AndreaMBaeza: Enserio esto es BRUTAL. ESTAMOS TODOS A UNA CON ELLOS!!!!!!!! OS QUEREMOS!! ❤️💛❤️ #aMaiaALFRED12POINTS #AmaiaAlfredLisboa…,cf_pablochape,,"[{'text': 'aMaiaALFRED12POINTS', 'indices': [100, 120]}, {'text': 'AmaiaAlfredLisboa', 'indices': [121, 139]}]"
3,Sat May 12 15:58:53 +0000 2018,995332494185680897,945629878153510912,"8. беларусь • 2018 
#eurovision https://t.co/eWK7qRykgz",blcklcfr,9.456298781535109e+17,"[{'text': 'eurovision', 'indices': [20, 31]}]"
4,Sat May 12 15:58:54 +0000 2018,995332497419403265,2304873134,"RT @Mystificus: Of course I'll watch #eurovision tonight. After all, 200 million people can't be wrong, can they?
Er...🍊🔫...",EcuadorDon,,"[{'text': 'eurovision', 'indices': [37, 48]}]"
5,Sat May 12 15:58:54 +0000 2018,995332497943777281,1390564530,"RT @KlNGNEUER: Me when Europeans make fun of Eurovision VS Me when Americans make fun of Eurovision

#Eurovision #EuroSemi2 https://t.co/HW…",BitterSweetMei,,"[{'text': 'Eurovision', 'indices': [101, 112]}, {'text': 'EuroSemi2', 'indices': [113, 123]}]"
6,Sat May 12 15:58:54 +0000 2018,995332498153529344,912957841,Eurovision song contest 2018 tonight!!!!!!,666asstrid,,[]
7,Sat May 12 15:58:54 +0000 2018,995332497918570496,1558027326,"RT @itsjonjol: Europe! Vote for Spain, vote for song number 2! ✨
--
Europa! Votad a España, votad por la canción número 2! ✨

#Eurovision #…",paurrodriguez15,,"[{'text': 'Eurovision', 'indices': [126, 137]}]"
8,Sat May 12 15:58:54 +0000 2018,995332498312843264,975882575788077057,"RT @r3alityfan: Miriam, Agoney y Cepeda usando la palabra “magia” para dar ánimos a Amaia &amp; Alfred. Tal vez de eso vaya la noche... de ilus…",demarcaribe,,[]
9,Sat May 12 15:58:54 +0000 2018,995332497142636551,91148757,@foureira_eleni La ganadora de Eurovisión 2018!! Es una diosaaaa!!!  #elenifoureira #fuego #eurovision #esc2018… https://t.co/qX3b7BbH7m,dragonred84,626038909.0,"[{'text': 'elenifoureira', 'indices': [69, 83]}, {'text': 'fuego', 'indices': [84, 90]}, {'text': 'eurovision', 'indices': [91, 102]}, {'text': 'esc2018', 'indices': [103, 111]}]"
10,Sat May 12 15:58:54 +0000 2018,995332499403411457,984083689159176192,"Saturday chills with bae, hands up who’s not watching Eurovision… https://t.co/9y7pH0nO4X",whatdoiknowbest,,[]
11,Sat May 12 15:58:54 +0000 2018,995332498661003264,734409667733008384,@AndrewDawes71 @SuzanneEvans1 @ConstantinStHe1 The tweet was directed at citizens of other countries partaking in t… https://t.co/iTcmyPtLit,fenton_herbert,9.287100146463089e+17,[]
12,Sat May 12 15:58:55 +0000 2018,995332500489752577,161259039,Looking forward to @Eurovision @bbceurovision tonight and rooting for @surieofficial who has strong competition. Sh… https://t.co/wLf9a6yFud,femaledetects,,[]
13,Sat May 12 15:58:55 +0000 2018,995332500271632384,488372338,"RT @latitaana: @Amaia_ot2017 y @Alfred_ot2017 actuarán en el puesto ✌️, el puesto de la VICTORIA ✌️. #Eurovision #SuperFan #ILoveEurovision…",anamunozbravo,,"[{'text': 'Eurovision', 'indices': [101, 112]}, {'text': 'SuperFan', 'indices': [113, 122]}, {'text': 'ILoveEurovision', 'indices': [123, 139]}]"
14,Sat May 12 15:58:55 +0000 2018,995332500930080769,112300300,El caso será que perderemos y en dos ratos de esto nadie se acordará de #Eurovision. Y luego todos a otra cosa.,Wallmi,112300300.0,"[{'text': 'Eurovision', 'indices': [72, 83]}]"
15,Sat May 12 15:58:55 +0000 2018,995332500598804480,981822924767285248,https://t.co/utbZgJfBg8 https://t.co/VaI6iaVtu3,Putnik_Vremeni,,[]
16,Sat May 12 15:58:55 +0000 2018,995332501081153536,18818299,"RT @Jem_Collins: Media and journalism friends, I need you to do something during #Eurovision this evening. And that something is to drink a…",Billy_Floyd,,"[{'text': 'Eurovision', 'indices': [81, 92]}]"
17,Sat May 12 15:58:55 +0000 2018,995332501294940160,149920207,"RT @FonGoesWest: 364 días al año: que asco españa

día de #eurovision: https://t.co/m8yWbNmZEg",IvanAT_CEDC,,"[{'text': 'eurovision', 'indices': [58, 69]}]"
